Title;Description;Price ($);Tags;Category;Count;Satellite
PlayStation 5 Console;Experience an all-new generation of incredible PlayStation games.;1200.0;Console, Gaming, Home;PlayStation;120;Moscow
PlayStation 4 PRO Console;Digital Edition console with a vibrant array of new colour options.;950.0;Console, Gaming, Home;PlayStation;56;Moscow
GoPro HERO 10 Black;A professional film studio in the palm of your hand.;550.0;Action, Video;Camera;15;Moscow
GoPro HERO 10 Black;A professional film studio in the palm of your hand.;550.0;Action, Video;Camera;15.0;Saint Petersburg
GoPro MAX;A professional film studio in the palm of your hand.;550.0;Action, Video;Camera;95;Moscow

GoPro MAX;A professional film studio in the palm of your hand.;550.0;Action, Video;Camera;95.0;Saint Petersburg
Sony A7 |||;Professional SLR Camera.;2900.0;Photo;Camera;24.0;Saint Petersburg
PlayStation 4 PRO Console;Digital Edition console with a vibrant array of new colour options.;950.0;Console, Gaming, Home;PlayStation;56.0;Moscow
GoPro HERO 10 Black;A professional film studio in the palm of your hand.;550.0;Action, Video;Camera;15.0;Moscow
GoPro MAX;A professional film studio in the palm of your hand.;550.0;Action, Video;Camera;95.0;Moscow
Sony A7 |||;Professional SLR Camera.;2900.0;Photo;Camera;24.0;Moscow
Apple Iphone 12 128gb;Iphone with large screen.;699.0;Phone, Camera;Phone;60.0;Moscow
Apple Iphone 13 mini 128;New iphone mini in a new color scheme.;699.0;Phone, Camera;Phone;29.0;Moscow
Apple iphone 13 Pro Max 128;New iphone in a new color scheme and Lidar camera.;1099.0;Phone, Camera;Phone;13.0;Moscow
HUAWEI MateBook 14 KLVL-W56W 16+512GB Space Grey;Slim and light laptop.;1049.0;Laptop, Graphic;Laptop;38.0;Moscow
Lenovo Legion 5 15ACH6A;Slim and powerful laptop for gaming.;1949.0;Laptop, Gaming, Home;Laptop;9.0;Saint Petersburg
Apple Iphone 12 128gb;Iphone with large screen.;699.0;Phone, Camera;Phone;60.0;Saint Petersburg
Apple Iphone 13 mini 128;New iphone mini in a new color scheme.;699.0;Phone, Camera;Phone;29.0;Saint Petersburg
TEST APPLE IPHONE13;TEST Iphone with large screen 13 ;699.0;Phone, Camera;Phone;60.0;Moscow
TEST APPLE IPHONE14;TEST Iphone with large screen 14;699.0;Phone, Camera;Phone;29.0;Moscow
TEST APPLE IPHONE15;TEST Iphone with large screen 15;1099.0;Phone, Camera;Phone;13.0;Moscow
TEST APPLE IPHONE16;TEST Iphone with large screen 16;1049.0;Laptop, Graphic;Laptop;38.0;Moscow
TEST APPLE IPHONE17;TEST Iphone with large screen 17;1949.0;Laptop, Gaming, Home;Laptop;9.0;Saint Petersburg
TEST APPLE IPHONE18;TEST Iphone with large screen 18;550.0;Action, Video;Camera;15.0;Saint Petersburg
TEST APPLE IPHONE19;TEST Iphone with large screen 19;699.0;Phone, Camera;Phone;60.0;Saint Petersburg
TEST APPLE IPHONE20;TEST Iphone with large screen 20;699.0;Phone, Camera;Phone;29.0;Saint Petersburg
TEST APPLE IPHONE21;TEST Iphone with large screen 21;699.0;Phone, Camera;Phone;60.0;Moscow
TEST APPLE IPHONE22;TEST Iphone with large screen 22;699.0;Phone, Camera;Phone;29.0;Moscow
